F,G,H,L,M,N,sigma0,k,n
0.15,0.2926,0.7074,1.5,1.5,1.7514,213.86,514.7,0.224
0.3904,0.3161,0.6839,1.5,1.5,3.5032,194.72,460.3,0.244
0.1478,0.3846,0.6154,1.5,1.5,3.2666,162.28,441.52,0.283
0.8268,0.2054,0.7946,1.5,1.5,5.187,131.21,333.15,0.258
0.2503,0.4386,0.5614,1.5,1.5,3.3232,215.17,641.33,0.292
0.2055,0.1454,0.8546,1.5,1.5,0.954,148.03,470.36,0.272
0.1419,0.2906,0.7094,1.5,1.5,2.4724,286.07,693.5,0.292
0.1662,0.3727,0.6273,1.5,1.5,3.3856,137.01,516.88,0.287
0.2103,0.1821,0.8179,1.5,1.5,2.0214,123.31,339.56,0.24
0.5311,0.1683,0.8317,1.5,1.5,4.4768,214.57,476.74,0.222
0.1559,0.1972,0.8028,1.5,1.5,1.8659,162.82,540.31,0.212
0.1547,0.1638,0.8362,1.5,1.5,1.682,297.19,624.47,0.193
0.1546,0.1834,0.8166,1.5,1.5,1.269,156.88,457.29,0.189
1.1204,0.172,0.828,1.5,1.5,3.0088,254.85,698.01,0.296
0.3204,0.3634,0.6366,1.5,1.5,1.1111,202.67,589.28,0.206
0.231,0.166,0.834,1.5,1.5,1.0645,142.46,565.9,0.288
0.2604,0.1523,0.8477,1.5,1.5,0.8859,214.87,486.59,0.249
0.2039,0.3202,0.6798,1.5,1.5,3.3878,123.51,502.33,0.262
0.1401,0.2466,0.7534,1.5,1.5,1.7948,175.61,536.37,0.296
0.2067,0.2433,0.7567,1.5,1.5,2.7607,205.0,417.05,0.264
0.2759,0.1861,0.8139,1.5,1.5,0.6408,145.32,478.26,0.232
0.2412,0.1883,0.8117,1.5,1.5,2.1036,198.95,663.98,0.235
0.2534,0.1667,0.8333,1.5,1.5,1.6058,158.73,459.08,0.206
0.2772,0.2922,0.7078,1.5,1.5,2.9561,212.94,609.26,0.217
0.1903,0.1751,0.8249,1.5,1.5,1.9033,204.97,557.49,0.224
0.1503,0.6238,0.3762,1.5,1.5,4.3369,152.41,434.65,0.196
0.1445,0.2823,0.7177,1.5,1.5,2.64,189.86,593.76,0.28
0.4606,0.2018,0.7982,1.5,1.5,1.4062,172.29,530.98,0.212
0.194,0.2803,0.7197,1.5,1.5,1.0079,258.76,629.76,0.223
0.2807,0.2635,0.7365,1.5,1.5,2.3019,208.87,537.55,0.18
0.1498,0.1907,0.8093,1.5,1.5,1.2557,265.56,637.12,0.198
0.6183,0.2425,0.7575,1.5,1.5,4.7899,228.21,636.54,0.178
0.476,0.2027,0.7973,1.5,1.5,2.8777,226.26,531.16,0.288
0.5274,0.2015,0.7985,1.5,1.5,1.4454,162.56,441.64,0.222
0.1194,0.3409,0.6591,1.5,1.5,2.944,178.01,685.71,0.175
0.4342,0.1673,0.8327,1.5,1.5,1.7809,196.63,628.86,0.257
0.1407,0.2322,0.7678,1.5,1.5,1.552,207.61,407.34,0.244
0.193,0.1568,0.8432,1.5,1.5,1.821,230.2,691.85,0.223
0.2796,0.1912,0.8088,1.5,1.5,2.2168,187.46,636.29,0.278
0.1573,0.1504,0.8496,1.5,1.5,1.7496,196.55,558.19,0.25
0.1585,0.2798,0.7202,1.5,1.5,0.7206,141.04,684.9,0.264
0.861,0.1864,0.8136,1.5,1.5,6.7722,196.03,610.97,0.233
0.2074,0.2332,0.7668,1.5,1.5,1.2666,125.34,641.42,0.238
0.2818,0.1699,0.8301,1.5,1.5,0.827,292.98,650.7,0.275
0.4821,0.1857,0.8143,1.5,1.5,1.4077,261.35,614.18,0.23
0.1364,0.2151,0.7849,1.5,1.5,1.6301,176.3,501.21,0.26
0.1038,0.6075,0.3925,1.5,1.5,2.3928,194.73,495.47,0.264
0.1507,0.18,0.82,1.5,1.5,1.8732,127.73,345.67,0.283
0.4697,0.4871,0.5129,1.5,1.5,2.6647,217.45,660.35,0.21
0.1581,0.1915,0.8085,1.5,1.5,1.7525,163.51,394.61,0.269
0.1673,0.1599,0.8401,1.5,1.5,1.0347,193.71,691.14,0.198
0.1279,0.2456,0.7544,1.5,1.5,2.1105,237.61,671.38,0.259
0.2103,0.3517,0.6483,1.5,1.5,0.6346,144.88,340.7,0.289
0.3806,0.335,0.665,1.5,1.5,2.7023,177.7,519.64,0.25
0.0905,0.5741,0.4259,1.5,1.5,4.0477,247.94,665.95,0.252
1.1293,0.1926,0.8074,1.5,1.5,5.3085,125.96,601.34,0.211
0.2127,0.1545,0.8455,1.5,1.5,0.6913,194.22,628.14,0.267
0.1481,0.252,0.748,1.5,1.5,0.5618,196.05,531.19,0.226
0.3096,0.24,0.76,1.5,1.5,3.0622,160.37,622.68,0.216
0.6457,0.4602,0.5398,1.5,1.5,2.9019,263.13,675.55,0.245
0.7425,0.2389,0.7611,1.5,1.5,2.6332,209.88,686.26,0.192
0.2653,0.1584,0.8416,1.5,1.5,2.1864,120.61,415.14,0.236
0.1848,0.2098,0.7902,1.5,1.5,1.2506,123.8,689.82,0.269
0.3362,0.1934,0.8066,1.5,1.5,0.9274,164.39,589.53,0.284
0.1548,0.2072,0.7928,1.5,1.5,2.0331,153.61,626.62,0.169
0.6242,0.6024,0.3976,1.5,1.5,7.6047,246.91,606.86,0.247
0.2509,0.1998,0.8002,1.5,1.5,1.5604,219.43,457.05,0.238
0.1666,0.2462,0.7538,1.5,1.5,1.3092,128.44,547.55,0.265
0.3833,0.2725,0.7275,1.5,1.5,3.7839,229.36,497.24,0.237
0.1558,0.2301,0.7699,1.5,1.5,1.6971,152.68,567.7,0.24
0.1706,0.4329,0.5671,1.5,1.5,2.7786,193.68,479.03,0.243
0.5026,0.3014,0.6986,1.5,1.5,5.1938,215.66,482.56,0.196
0.3783,0.4442,0.5558,1.5,1.5,4.2996,262.96,580.27,0.199
0.1593,0.209,0.791,1.5,1.5,0.8568,159.54,529.51,0.275
0.1191,0.4127,0.5873,1.5,1.5,1.118,160.67,566.59,0.241
0.136,0.2768,0.7232,1.5,1.5,1.4039,199.84,687.89,0.241
0.3027,0.1559,0.8441,1.5,1.5,1.7072,125.59,676.94,0.186
1.0762,0.2478,0.7522,1.5,1.5,3.8288,166.11,619.88,0.189
0.264,0.253,0.747,1.5,1.5,1.7343,144.37,313.87,0.211
0.2838,0.2457,0.7543,1.5,1.5,2.5394,275.54,657.04,0.252
0.3982,0.1653,0.8347,1.5,1.5,0.7382,209.87,494.06,0.292
0.1522,0.1569,0.8431,1.5,1.5,1.5591,218.37,535.31,0.29
0.1218,0.3225,0.6775,1.5,1.5,1.0294,179.77,570.33,0.222
0.2018,0.1784,0.8216,1.5,1.5,2.3728,183.2,598.39,0.173
0.1357,0.2957,0.7043,1.5,1.5,1.3575,138.91,375.58,0.218
1.106,0.1705,0.8295,1.5,1.5,3.5104,158.36,444.07,0.284
0.1385,0.1985,0.8015,1.5,1.5,1.7685,253.4,525.11,0.242
0.5778,0.2962,0.7038,1.5,1.5,5.1874,244.87,631.27,0.211
0.2223,0.144,0.856,1.5,1.5,0.6304,194.98,475.07,0.287
0.1527,0.1596,0.8404,1.5,1.5,0.4401,196.25,699.98,0.259
0.9673,0.1478,0.8522,1.5,1.5,5.3581,200.78,499.18,0.262
0.1084,0.3842,0.6158,1.5,1.5,3.1872,153.35,321.64,0.298
0.1594,0.1642,0.8358,1.5,1.5,1.2572,263.21,533.34,0.227
0.2924,0.1673,0.8327,1.5,1.5,0.73,176.97,619.55,0.192
0.334,0.2311,0.7689,1.5,1.5,2.2705,234.59,550.45,0.277
0.1713,0.1996,0.8004,1.5,1.5,2.3887,184.36,528.43,0.256
0.5044,0.1495,0.8505,1.5,1.5,3.6516,202.32,670.68,0.191
0.1897,0.156,0.844,1.5,1.5,2.1546,161.28,496.04,0.176
0.2141,0.153,0.847,1.5,1.5,1.8003,263.87,603.92,0.187
0.1455,0.1668,0.8332,1.5,1.5,1.4671,139.67,676.74,0.179
0.1499,0.1698,0.8302,1.5,1.5,1.7579,274.46,583.68,0.258
0.1303,0.4864,0.5136,1.5,1.5,1.4838,161.03,542.41,0.21
0.853,0.263,0.737,1.5,1.5,1.5446,152.37,624.67,0.257
0.642,0.1603,0.8397,1.5,1.5,1.8532,220.15,634.84,0.24
0.1782,0.2637,0.7363,1.5,1.5,1.1004,137.82,449.7,0.199
0.1887,0.3631,0.6369,1.5,1.5,1.5136,262.81,604.28,0.215
0.2391,0.2382,0.7618,1.5,1.5,2.8584,163.18,669.08,0.241
0.2953,0.3279,0.6721,1.5,1.5,2.3675,141.2,580.02,0.193
0.3554,0.1649,0.8351,1.5,1.5,1.7798,177.42,656.89,0.237
0.2844,0.2492,0.7508,1.5,1.5,1.6621,188.68,512.5,0.226
0.2034,0.1957,0.8043,1.5,1.5,2.2556,194.87,463.77,0.166
0.3122,0.1749,0.8251,1.5,1.5,3.0658,236.65,617.18,0.204
0.1394,0.2085,0.7915,1.5,1.5,1.9167,190.6,435.9,0.17
0.2719,0.1884,0.8116,1.5,1.5,2.0295,243.95,588.06,0.295
0.1355,0.2033,0.7967,1.5,1.5,0.99,173.94,422.9,0.258
0.2272,0.3556,0.6444,1.5,1.5,2.7661,240.55,597.62,0.212
0.1058,0.5176,0.4824,1.5,1.5,1.5752,234.05,589.72,0.21
0.3824,0.2399,0.7601,1.5,1.5,1.2588,239.46,610.43,0.203
0.4139,0.1689,0.8311,1.5,1.5,1.9542,138.39,587.82,0.221
0.1233,0.3937,0.6063,1.5,1.5,1.5758,127.55,493.96,0.201
0.1672,0.1573,0.8427,1.5,1.5,1.4416,129.32,667.05,0.225
0.1355,0.1902,0.8098,1.5,1.5,0.6598,124.53,302.59,0.285
0.1159,0.3196,0.6804,1.5,1.5,0.5858,239.55,548.48,0.285
0.5899,0.2325,0.7675,1.5,1.5,2.8843,137.09,677.59,0.194
0.2303,0.1935,0.8065,1.5,1.5,2.2358,141.13,669.57,0.213
0.1684,0.3138,0.6862,1.5,1.5,2.5876,178.98,580.99,0.225
0.1363,0.1847,0.8153,1.5,1.5,0.8122,122.18,544.81,0.224
0.2845,0.1976,0.8024,1.5,1.5,1.2993,138.11,419.97,0.221
0.3717,0.1707,0.8293,1.5,1.5,2.4149,223.31,553.77,0.191
0.2778,0.1678,0.8322,1.5,1.5,1.4004,225.99,674.3,0.26
0.3342,0.1804,0.8196,1.5,1.5,3.138,288.82,647.16,0.25
0.5178,0.2792,0.7208,1.5,1.5,1.2003,261.84,690.22,0.253
0.1842,0.1455,0.8545,1.5,1.5,1.1273,191.77,540.29,0.229
0.298,0.161,0.839,1.5,1.5,2.1314,253.64,536.99,0.194
1.1922,0.2394,0.7606,1.5,1.5,9.1792,145.57,467.48,0.177
0.3399,0.2441,0.7559,1.5,1.5,2.11,200.13,611.53,0.3
0.0869,0.551,0.449,1.5,1.5,3.9652,163.95,671.78,0.242
0.1282,0.3171,0.6829,1.5,1.5,2.4228,132.91,363.54,0.228
0.3435,0.221,0.779,1.5,1.5,2.7643,203.86,516.56,0.213
0.1277,0.4195,0.5805,1.5,1.5,2.9414,209.65,685.95,0.176
0.1178,0.3181,0.6819,1.5,1.5,2.2698,180.31,378.6,0.227
0.451,0.2306,0.7694,1.5,1.5,2.0788,146.33,334.26,0.219
0.2626,0.3504,0.6496,1.5,1.5,1.9504,204.28,640.35,0.258
0.5604,0.1864,0.8136,1.5,1.5,0.9849,121.41,623.39,0.213
0.1502,0.1901,0.8099,1.5,1.5,1.5787,169.36,563.38,0.241
0.154,0.4083,0.5917,1.5,1.5,2.1003,126.61,529.94,0.266
0.1065,0.3931,0.6069,1.5,1.5,1.8314,217.7,517.54,0.204
0.2175,0.174,0.826,1.5,1.5,0.9146,263.25,583.98,0.269
0.3715,0.2864,0.7136,1.5,1.5,2.9248,152.04,357.92,0.272
0.3222,0.2412,0.7588,1.5,1.5,3.5788,213.74,567.36,0.199
0.1358,0.2126,0.7874,1.5,1.5,1.2811,168.14,590.93,0.241
0.2127,0.5089,0.4911,1.5,1.5,3.2529,125.02,576.24,0.297
0.3775,0.1774,0.8226,1.5,1.5,2.5697,139.15,401.77,0.168
0.7152,0.2812,0.7188,1.5,1.5,5.84,262.13,682.38,0.256
0.3775,0.1824,0.8176,1.5,1.5,2.5385,177.46,513.03,0.178
0.4191,0.2749,0.7251,1.5,1.5,1.633,167.45,509.85,0.227
0.2596,0.1628,0.8372,1.5,1.5,1.5789,133.41,609.36,0.169
0.1608,0.3069,0.6931,1.5,1.5,2.3612,154.38,666.62,0.184
0.3585,0.1597,0.8403,1.5,1.5,2.7303,159.37,652.53,0.183
0.2773,0.2662,0.7338,1.5,1.5,1.1794,193.12,434.05,0.233
0.1793,0.2317,0.7683,1.5,1.5,2.4948,275.96,671.45,0.219
0.4046,0.466,0.534,1.5,1.5,4.4441,225.71,550.48,0.22
0.2605,0.2977,0.7023,1.5,1.5,3.1918,287.53,596.37,0.217
0.9968,0.3142,0.6858,1.5,1.5,6.6613,203.3,583.09,0.284
0.3811,0.1531,0.8469,1.5,1.5,3.2109,142.33,424.43,0.254
0.1665,0.1651,0.8349,1.5,1.5,1.8953,169.89,675.36,0.245
0.33,0.1871,0.8129,1.5,1.5,1.5292,163.48,396.95,0.192
0.2547,0.1433,0.8567,1.5,1.5,0.9421,208.35,448.73,0.285
0.2311,0.1485,0.8515,1.5,1.5,2.0304,211.03,576.39,0.26
0.1643,0.2189,0.7811,1.5,1.5,0.7151,264.62,694.92,0.291
0.2781,0.1538,0.8462,1.5,1.5,1.8021,127.19,545.78,0.165
0.1401,0.2416,0.7584,1.5,1.5,1.4031,158.9,620.0,0.289
0.1889,0.161,0.839,1.5,1.5,2.1837,152.91,622.48,0.275
0.8995,0.1536,0.8464,1.5,1.5,1.647,154.71,694.8,0.29
0.1397,0.2086,0.7914,1.5,1.5,0.833,145.08,633.61,0.231
0.4506,0.2998,0.7002,1.5,1.5,4.1728,185.95,603.43,0.288
0.158,0.1584,0.8416,1.5,1.5,1.4757,160.35,463.98,0.244
0.1956,0.2874,0.7126,1.5,1.5,2.573,128.21,590.21,0.297
0.6023,0.1435,0.8565,1.5,1.5,1.5543,138.82,492.78,0.236
0.2847,0.1864,0.8136,1.5,1.5,2.8496,231.29,610.3,0.206
0.1393,0.2408,0.7592,1.5,1.5,1.11,271.44,625.94,0.255
0.2137,0.2897,0.7103,1.5,1.5,1.8726,226.34,610.51,0.276
0.1496,0.5476,0.4524,1.5,1.5,3.0804,211.09,640.8,0.253
0.0859,0.5058,0.4942,1.5,1.5,3.6371,125.55,676.84,0.242
0.3571,0.188,0.812,1.5,1.5,3.2455,155.32,696.09,0.289
0.186,0.3486,0.6514,1.5,1.5,2.6074,207.88,580.04,0.257
0.2578,0.1455,0.8545,1.5,1.5,0.8707,219.88,467.11,0.293
0.2231,0.3251,0.6749,1.5,1.5,2.3074,175.09,486.89,0.26
0.2046,0.1531,0.8469,1.5,1.5,1.1823,139.42,421.32,0.29
0.2285,0.1664,0.8336,1.5,1.5,1.2329,155.58,443.56,0.2
0.4094,0.2287,0.7713,1.5,1.5,1.2679,206.54,468.99,0.293
0.3524,0.192,0.808,1.5,1.5,3.5166,288.27,692.1,0.178
0.1742,0.2606,0.7394,1.5,1.5,0.9583,126.82,374.85,0.202
0.3722,0.155,0.845,1.5,1.5,0.987,241.55,651.62,0.258
0.3141,0.196,0.804,1.5,1.5,2.516,128.79,428.45,0.266
0.1824,0.2936,0.7064,1.5,1.5,1.6008,177.04,427.04,0.275
0.1614,0.1779,0.8221,1.5,1.5,1.9611,161.49,652.24,0.282
0.5228,0.151,0.849,1.5,1.5,3.4821,193.19,543.58,0.177
0.186,0.196,0.804,1.5,1.5,2.3186,221.3,605.81,0.173
0.3627,0.2354,0.7646,1.5,1.5,1.2698,149.79,581.2,0.299
0.3762,0.1994,0.8006,1.5,1.5,1.3315,147.75,453.96,0.227
0.2925,0.274,0.726,1.5,1.5,1.0571,194.95,431.9,0.283
1.1452,0.1468,0.8532,1.5,1.5,6.6811,221.28,597.49,0.288
1.299,0.2141,0.7859,1.5,1.5,3.642,190.91,549.77,0.229
0.1983,0.2711,0.7289,1.5,1.5,1.5974,133.27,532.27,0.169
0.1368,0.2743,0.7257,1.5,1.5,1.0821,192.95,623.4,0.257
0.2053,0.1975,0.8025,1.5,1.5,1.2924,196.39,561.27,0.297
0.2262,0.1866,0.8134,1.5,1.5,2.1699,147.33,581.58,0.253
0.7495,0.1561,0.8439,1.5,1.5,2.2295,195.12,506.17,0.242
0.4275,0.1492,0.8508,1.5,1.5,2.6848,133.41,636.75,0.241
0.1496,0.1502,0.8498,1.5,1.5,1.5916,234.57,567.88,0.298
0.1437,0.2422,0.7578,1.5,1.5,0.9009,291.45,628.29,0.285
0.3385,0.2974,0.7026,1.5,1.5,2.1204,167.02,513.07,0.289
0.1721,0.1675,0.8325,1.5,1.5,0.6913,127.41,580.43,0.264
0.1476,0.3471,0.6529,1.5,1.5,2.8819,137.12,344.09,0.225
0.1049,0.3953,0.6047,1.5,1.5,2.5484,136.67,646.25,0.19
0.3554,0.2305,0.7695,1.5,1.5,1.3165,161.77,404.76,0.292
0.2207,0.1998,0.8002,1.5,1.5,1.8713,163.76,536.0,0.284
0.3525,0.281,0.719,1.5,1.5,3.8165,206.68,545.03,0.193
0.159,0.24,0.76,1.5,1.5,2.2896,126.67,663.28,0.268
0.8169,0.152,0.848,1.5,1.5,2.9718,189.96,550.7,0.259
0.179,0.1506,0.8494,1.5,1.5,1.6151,121.94,388.79,0.186
0.0922,0.5721,0.4279,1.5,1.5,2.0972,126.66,412.25,0.232
0.1313,0.2219,0.7781,1.5,1.5,1.8554,187.77,568.04,0.183
0.1631,0.3169,0.6831,1.5,1.5,1.7711,122.22,385.7,0.185
0.1934,0.3685,0.6315,1.5,1.5,1.5771,242.03,508.95,0.294
0.6321,0.1732,0.8268,1.5,1.5,2.5061,140.74,456.6,0.246
0.1428,0.1637,0.8363,1.5,1.5,1.0135,125.79,659.09,0.298
0.1808,0.1523,0.8477,1.5,1.5,2.1615,158.6,650.68,0.177
0.1779,0.2002,0.7998,1.5,1.5,1.0442,217.5,612.45,0.221
0.3468,0.4305,0.5695,1.5,1.5,4.409,284.71,650.26,0.216
0.2137,0.2361,0.7639,1.5,1.5,2.2459,140.33,688.2,0.24
0.1318,0.3042,0.6958,1.5,1.5,1.8646,164.99,553.09,0.288
0.1254,0.3604,0.6396,1.5,1.5,0.8681,159.75,431.94,0.285
0.1657,0.276,0.724,1.5,1.5,2.8286,138.44,549.09,0.215
0.1807,0.4978,0.5022,1.5,1.5,4.3548,198.18,543.12,0.255
0.2763,0.1579,0.8421,1.5,1.5,2.6506,162.78,461.53,0.2
1.2277,0.2474,0.7526,1.5,1.5,9.2432,141.0,507.3,0.188
0.152,0.3839,0.6161,1.5,1.5,1.2577,227.64,608.85,0.198
0.2914,0.2674,0.7326,1.5,1.5,1.2757,255.29,688.71,0.235
0.1537,0.251,0.749,1.5,1.5,2.1342,137.04,672.61,0.248
0.1189,0.4307,0.5693,1.5,1.5,3.3843,265.14,554.24,0.287
0.1746,0.1668,0.8332,1.5,1.5,1.9758,162.76,468.78,0.286
0.2578,0.2672,0.7328,1.5,1.5,1.927,143.83,502.36,0.264
0.2725,0.5269,0.4731,1.5,1.5,3.6645,231.69,585.92,0.249
0.2749,0.4931,0.5069,1.5,1.5,4.5465,264.6,649.47,0.27
0.1394,0.271,0.729,1.5,1.5,1.6757,231.83,480.23,0.235
0.1849,0.2371,0.7629,1.5,1.5,2.3787,185.56,580.37,0.274
0.1556,0.1552,0.8448,1.5,1.5,1.8292,215.2,429.0,0.297
0.2403,0.1608,0.8392,1.5,1.5,2.5214,165.27,374.59,0.206
0.3648,0.2226,0.7774,1.5,1.5,2.5088,231.63,532.14,0.224
0.1865,0.2305,0.7695,1.5,1.5,1.7041,251.87,526.5,0.199
0.1975,0.1604,0.8396,1.5,1.5,0.8835,212.48,530.91,0.209
0.2895,0.1532,0.8468,1.5,1.5,1.7889,250.4,558.9,0.186
0.4129,0.1895,0.8105,1.5,1.5,3.8377,186.23,676.57,0.265
0.3827,0.2208,0.7792,1.5,1.5,1.8999,232.46,595.79,0.277
0.2381,0.186,0.814,1.5,1.5,2.1124,158.61,667.7,0.213
0.1664,0.2425,0.7575,1.5,1.5,1.7037,236.89,487.7,0.269
0.2937,0.3278,0.6722,1.5,1.5,2.4211,121.28,541.19,0.222
0.2399,0.2259,0.7741,1.5,1.5,2.2585,221.07,460.86,0.233
0.2131,0.3444,0.6556,1.5,1.5,1.4183,129.78,329.51,0.237
0.2991,0.1727,0.8273,1.5,1.5,2.4986,120.92,532.59,0.237
0.1808,0.1538,0.8462,1.5,1.5,1.0366,179.64,469.91,0.27
0.1512,0.3177,0.6823,1.5,1.5,1.7548,166.19,603.79,0.217
0.1693,0.45,0.55,1.5,1.5,1.7887,164.43,696.0,0.195
0.1855,0.1725,0.8275,1.5,1.5,1.6046,139.48,343.04,0.209
0.1517,0.438,0.562,1.5,1.5,1.6323,213.69,591.28,0.216
0.751,0.1641,0.8359,1.5,1.5,2.178,160.82,461.06,0.232
0.1881,0.3506,0.6494,1.5,1.5,0.6739,193.92,647.85,0.287
0.2275,0.2766,0.7234,1.5,1.5,1.2312,134.39,398.49,0.289
0.371,0.2247,0.7753,1.5,1.5,3.3636,177.41,465.24,0.209
0.1296,0.3184,0.6816,1.5,1.5,1.703,185.06,648.61,0.177
0.4605,0.2388,0.7612,1.5,1.5,3.9202,271.9,633.75,0.246
0.2086,0.2015,0.7985,1.5,1.5,1.3593,140.24,440.91,0.226
0.173,0.1729,0.8271,1.5,1.5,1.4709,141.76,556.16,0.174
0.4141,0.2207,0.7793,1.5,1.5,1.8542,147.36,497.83,0.226
0.1523,0.1938,0.8062,1.5,1.5,1.7162,136.11,282.8,0.19
0.3863,0.2041,0.7959,1.5,1.5,3.4501,147.79,505.63,0.215
0.1429,0.1657,0.8343,1.5,1.5,0.5372,208.19,630.7,0.21
0.1342,0.3894,0.6106,1.5,1.5,2.8118,260.53,604.62,0.273
0.1391,0.2144,0.7856,1.5,1.5,1.4287,159.32,466.79,0.256
0.1535,0.177,0.823,1.5,1.5,2.0432,151.59,345.03,0.241
0.4154,0.1866,0.8134,1.5,1.5,3.5153,212.22,554.87,0.288
0.2486,0.3391,0.6609,1.5,1.5,3.704,239.82,560.21,0.208
0.4944,0.1866,0.8134,1.5,1.5,4.3841,148.97,682.5,0.21
0.1484,0.2001,0.7999,1.5,1.5,2.0066,201.96,590.71,0.253
0.1183,0.4847,0.5153,1.5,1.5,2.4995,127.11,535.28,0.181
0.1967,0.1736,0.8264,1.5,1.5,2.2826,123.24,356.71,0.183
0.1675,0.4446,0.5554,1.5,1.5,1.6822,221.58,495.97,0.25
0.3967,0.203,0.797,1.5,1.5,0.8774,224.37,656.49,0.203
0.1104,0.5362,0.4638,1.5,1.5,2.7475,200.66,480.06,0.204
0.1831,0.2514,0.7486,1.5,1.5,0.6874,289.62,649.19,0.274
0.1482,0.6139,0.3861,1.5,1.5,1.1202,190.28,548.73,0.272
0.1612,0.1855,0.8145,1.5,1.5,1.2904,181.01,393.64,0.281
0.2014,0.1525,0.8475,1.5,1.5,2.0541,163.43,504.68,0.192
0.433,0.2855,0.7145,1.5,1.5,3.7399,142.03,363.09,0.226
0.0761,0.5682,0.4318,1.5,1.5,1.7996,233.5,660.94,0.231
0.1789,0.2948,0.7052,1.5,1.5,1.1483,182.31,554.3,0.208
0.2579,0.1963,0.8037,1.5,1.5,2.4466,127.89,531.49,0.254
0.2256,0.2155,0.7845,1.5,1.5,0.9466,208.34,634.88,0.226
0.158,0.2136,0.7864,1.5,1.5,1.4435,249.0,637.58,0.187
0.2679,0.3067,0.6933,1.5,1.5,1.1715,173.83,410.66,0.297
0.2409,0.1705,0.8295,1.5,1.5,2.3884,147.82,442.86,0.214
0.2783,0.2327,0.7673,1.5,1.5,0.8314,241.2,569.19,0.264
0.3074,0.3247,0.6753,1.5,1.5,1.5157,216.18,612.69,0.265
0.1571,0.1459,0.8541,1.5,1.5,0.6651,144.01,297.83,0.244
0.1467,0.4591,0.5409,1.5,1.5,2.1003,158.15,354.04,0.248
0.2724,0.1988,0.8012,1.5,1.5,1.8002,197.78,518.25,0.174
0.1895,0.246,0.754,1.5,1.5,2.4331,132.18,420.19,0.285
0.1956,0.2966,0.7034,1.5,1.5,0.8829,181.84,584.42,0.257
0.6538,0.182,0.818,1.5,1.5,3.2775,269.19,641.58,0.246
0.141,0.1788,0.8212,1.5,1.5,1.2838,161.34,353.91,0.287
0.2743,0.295,0.705,1.5,1.5,1.0356,170.67,452.22,0.295
0.1602,0.2464,0.7536,1.5,1.5,2.136,195.52,498.95,0.265
0.1325,0.5675,0.4325,1.5,1.5,4.3566,144.95,348.55,0.269
0.1486,0.3267,0.6733,1.5,1.5,3.0578,248.71,686.52,0.26
0.5271,0.2252,0.7748,1.5,1.5,4.7492,164.84,405.08,0.182
0.1464,0.4498,0.5502,1.5,1.5,2.7135,274.95,576.54,0.273
0.2527,0.4789,0.5211,1.5,1.5,1.7084,174.92,417.83,0.274
0.2507,0.1969,0.8031,1.5,1.5,0.9095,160.24,396.74,0.299
0.2684,0.2974,0.7026,1.5,1.5,1.3828,125.91,595.03,0.251
0.2264,0.1581,0.8419,1.5,1.5,1.3694,158.17,620.51,0.244
0.2719,0.3261,0.6739,1.5,1.5,2.5794,152.76,496.29,0.285
0.2215,0.1827,0.8173,1.5,1.5,1.7927,214.67,431.37,0.287
0.1446,0.2129,0.7871,1.5,1.5,2.1753,206.1,541.44,0.25
0.4482,0.1883,0.8117,1.5,1.5,2.8763,246.74,605.01,0.253
0.3252,0.1552,0.8448,1.5,1.5,0.8013,232.43,559.0,0.251
0.6452,0.2754,0.7246,1.5,1.5,3.956,194.89,632.45,0.239
0.4728,0.2411,0.7589,1.5,1.5,3.8303,295.8,634.95,0.241
0.161,0.283,0.717,1.5,1.5,1.2532,166.02,623.78,0.218
0.2277,0.2145,0.7855,1.5,1.5,1.3737,219.79,678.53,0.263
0.7904,0.1487,0.8513,1.5,1.5,4.4036,153.42,690.6,0.256
0.3538,0.1993,0.8007,1.5,1.5,3.4005,145.74,624.29,0.17
0.1755,0.2827,0.7173,1.5,1.5,2.2524,161.99,386.41,0.286
0.2453,0.1509,0.8491,1.5,1.5,1.1345,150.29,415.49,0.209
0.1775,0.159,0.841,1.5,1.5,1.7632,205.23,548.37,0.281
0.3546,0.2198,0.7802,1.5,1.5,1.5499,146.87,681.63,0.288
0.3271,0.2827,0.7173,1.5,1.5,1.0281,181.54,582.3,0.267
0.6227,0.3549,0.6451,1.5,1.5,4.1283,172.59,519.06,0.283
0.8864,0.3112,0.6888,1.5,1.5,2.1367,183.12,662.5,0.287
0.5137,0.6188,0.3812,1.5,1.5,5.4283,250.69,668.21,0.299
0.904,0.3383,0.6617,1.5,1.5,7.2101,248.43,617.94,0.228
0.1441,0.1622,0.8378,1.5,1.5,0.6455,252.25,678.64,0.24
0.6076,0.2417,0.7583,1.5,1.5,2.5683,120.86,695.01,0.246
0.1879,0.2235,0.7765,1.5,1.5,0.6931,202.93,508.35,0.227
0.2896,0.17,0.83,1.5,1.5,2.7153,147.67,297.96,0.276
0.2689,0.2383,0.7617,1.5,1.5,2.9896,234.24,486.21,0.294
0.6256,0.1573,0.8427,1.5,1.5,2.9007,167.74,445.11,0.217
0.8998,0.4196,0.5804,1.5,1.5,2.243,135.65,606.8,0.294
0.143,0.2723,0.7277,1.5,1.5,1.0869,137.2,536.61,0.178
0.268,0.3782,0.6218,1.5,1.5,3.856,135.5,419.91,0.217
0.1964,0.4946,0.5054,1.5,1.5,2.044,169.11,637.9,0.271
0.4766,0.1836,0.8164,1.5,1.5,1.7528,169.84,555.54,0.284
